"","SAMD00115014","SAMD00114972","SAMD00115021","SAMD00114969","SAMD00115020","SAMD00115029","SAMD00115026","SAMD00115028","SAMD00115030","SAMD00115031","SAMD00115034","SAMD00115035","SAMD00115000","SAMD00114737","SAMD00114738","SAMD00114739","SAMD00114744","SAMD00114746","SAMD00114748","SAMD00114740","SAMD00114742","SAMD00114743","SAMD00114759","SAMD00114760","SAMD00114761","SAMD00114762","SAMD00114763","SAMD00114764","SAMD00114755","SAMD00114765","SAMD00114978","SAMD00114766","SAMD00114767","SAMD00114768","SAMD00114772","SAMD00114722","SAMD00114723","SAMD00114724","SAMD00114793","SAMD00114794","SAMD00114797","SAMD00114799","SAMD00114753","SAMD00114754","SAMD00114749","SAMD00114750","SAMD00114782","SAMD00114774","SAMD00114775","SAMD00114776","SAMD00114777","SAMD00114731","SAMD00114732","SAMD00114733","SAMD00114726","SAMD00114727","SAMD00114728","SAMD00114729","SAMD00114788","SAMD00114790","SAMD00114786","SAMD00115006","SAMD00115007","SAMD00115011","SAMD00115013","SAMD00115010","SAMD00114816","SAMD00114804","SAMD00114805","SAMD00114806","SAMD00114808","SAMD00114810","SAMD00114811","SAMD00114813","SAMD00114814","SAMD00114826","SAMD00114822","SAMD00114823","SAMD00114857","SAMD00114825","SAMD00114817","SAMD00114835","SAMD00114836","SAMD00114803","SAMD00114841","SAMD00114844","SAMD00114846","SAMD00114848","SAMD00114849","SAMD00114863","SAMD00114852","SAMD00114868","SAMD00114839","SAMD00114840","SAMD00114856","SAMD00114870","SAMD00114871","SAMD00114927","SAMD00114891","SAMD00114939","SAMD00114892","SAMD00114893","SAMD00114875","SAMD00114931","SAMD00114894","SAMD00114933","SAMD00114941","SAMD00114896","SAMD00114897","SAMD00114877","SAMD00114878","SAMD00114934","SAMD00114935","SAMD00114943","SAMD00114944","SAMD00114909","SAMD00114919","SAMD00114920","SAMD00114949","SAMD00114910","SAMD00114911","SAMD00114921","SAMD00114922","SAMD00114951","SAMD00114912","SAMD00114952","SAMD00114924","SAMD00114954","SAMD00114914","SAMD00114946","SAMD00114925","SAMD00114956","SAMD00114915","SAMD00114916","SAMD00114917","SAMD00114948","SAMD00114957","SAMD00114958","SAMD00114879","SAMD00114960","SAMD00114883","SAMD00114884","SAMD00114902","SAMD00114903","SAMD00114964","SAMD00114905","SAMD00114965","SAMD00114907","SAMD00114966","SAMD00114886","SAMD00164694","SAMD00164695","SAMD00164721","SAMD00164745","SAMD00154993","SAMD00164767","SAMD00164769","SAMD00154994","SAMD00164771","SAMD00154995","SAMD00164776","SAMD00164778","SAMD00164779","SAMD00164780","SAMD00164812","SAMD00164817","SAMD00164818","SAMD00164820","SAMD00164821","SAMD00164822","SAMD00164826","SAMD00164829","SAMD00164830","SAMD00164831","SAMD00164832","SAMD00164834","SAMD00164836","SAMD00164838","SAMD00164839","SAMD00164841","SAMD00164842","SAMD00164843","SAMD00164844","SAMD00164845","SAMD00164846","SAMD00164847","SAMD00164850","SAMD00164851","SAMD00164852","SAMD00164854","SAMD00164858","SAMD00164859","SAMD00164860","SAMD00164861","SAMD00164863","SAMD00164864","SAMD00164866","SAMD00164867","SAMD00164868","SAMD00164869","SAMD00164871","SAMD00164880","SAMD00164883","SAMD00164884","SAMD00164885","SAMD00164889","SAMD00164903","SAMD00164905","SAMD00164907","SAMD00164910","SAMD00164912","SAMD00164913","SAMD00164919","SAMD00164928","SAMD00164932","SAMD00164937","SAMD00164940","SAMD00164944","SAMD00164946","SAMD00164968","SAMD00164970","SAMD00164971","SAMD00164974","SAMD00164975","SAMD00164976","SAMD00164977","SAMD00164978","SAMD00164979","SAMD00164980","SAMD00164981","SAMD00164982","SAMD00164984","SAMD00164985","SAMD00164987","SAMD00164988","SAMD00164989","SAMD00164990","SAMD00164991","SAMD00164992","SAMD00164993","SAMD00164994","SAMD00164995","SAMD00164997","SAMD00164998","SAMD00165000","SAMD00165002","SAMD00165003","SAMD00165005","SAMD00165006","SAMD00165007","SAMD00165009","SAMD00165011","SAMD00165012","SAMD00165014","SAMD00165016","SAMD00165017","SAMD00165018","SAMD00165019"
"Streptococcus downei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03946,0,0,0,0.00952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.09405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limosilactobacillus oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06124,0,0,0,0,0,0.25926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01507,0,0,0,0,0,0,0,0,0,0,0.00619,0,0,0,0,0,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0,0,0,0,0,0,0,0.00375,0,0,0,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277,0,0
"Parascardovia denticolens",0,0,0,0.01958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romboutsia ilealis",0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0,0,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus intestini",0.00765,0,0,3.25118,0,2.19132,0,0,0,0,0.33096,0,2.99409,0,0,0,0.00118,0,1.32853,0,0,0,0,0,0.94409,0,0,0.11091,0,0,0,0,0,6.53146,0,0,0,0,1.12979,0,1.91961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41845,0,0,0,0,0,0,0,0.20219,0,0,0,0,0,0,0,0,0,0,0,0,3.19022,0,0,0,0.02107,0,0,0,0,0,0,0,1.50319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22716,0,0.03108,0,0,0,0,0,0,0,0,0,0,0.11361,0,0.35021,0,0,0,0,0,0,0,0,0,1.4977,0,0,0.60114,4.94647,2.18614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5072,0.45224,0,0,0.75912,0,0,0,0,0,0,0,0,0,0,0,3.50069,0,0,0,0,0,0,0.12578,0,0,0,0,0,0,0,2.52566,1.92594,0,0,0,3.80208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20245,0,0,0.71338,0,0,0,0,0,0,0,0,0,0,0,2.06158,0,0,0,0,3.2657,0,0,0,0,0,0.07142,0,0,0,0,0,0,0,0,0,7.73051,0,0,0,0.00017,0.80319,0.53323,0,0,0,0,0,0,0,0
"Blautia argi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12923,0,0,0,0,0,0,0.16788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15595,0,0,0,0,0,0,0.01252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06856,0,0,0,0,0,0,0,0,0,0.57922,0,0,0.07216,0,0,0,0,0.4869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10941,0,0,0,0,0,0,0,0.0869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13206,0.16011,0,0.00946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17773,0,0,0,0,0,0,0.1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17543,0,0,0,0,0.70448,0,0,0,0,0.23431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06459,0,0.01378,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus raffinosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium varium",0,0,0,0,0,0,0,0,0,0,0,0,0.00493,0,0.03655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244,0.03906,0,0.01081,0,0,0,0,0.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517,0,0,0,0,0,0,0,0,0.02412,0,0,0,0,0.00335,0,0,0,0,1.39603,0,0,0,0,0,0,0,0,0,0,0,0.20261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02914,0,0.00028,0,0,0,0.02187,0,0,0,0,0,0,0.04345,0,0,0,0,0,0.32449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03197,0,0,0,0,0,0,0,0.00822,0,0,0,0,1.33561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus cateniformis",0.04994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21589,0,0,0,0,0,0,0,0.05875,0,0,0,0.07247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05219,0,0,0,0,0.03415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00534,0,0,0,0,0,0,0,0,0,0,0.16952,0,0,0,0,0,0,0,0,0,0,0,0.00305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01666,0.13305,0,0,0,0,0,0,0.15385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565,0,0,0,0.00421,0,0,0,0,0,0,0,0,0,0,0.03664,0,0,0,0,0.22332,0.0028,0,0,0,0.02837,0.00509,0,0.02377,0,0,0,0.00125,0,0,0.00024,0,0.1368,0,0,0,0,0.0547,0,0,0,0,0,0,0,0.01332,0,0.17168,0,0,0.01063,0,0,0.00132,0,0,0,0.21619,0
"Oxalobacter formigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02333,0,0,0,0,0,0,0,0,0,0.07048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01521,0,0.01693,0,0,0.05997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05543,0,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00381,0,0,0,0,0
"Klebsiella oxytoca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00444,0,0,0,0,0,0,0,0,0,0.01776,0,0.87077,0,0,0,0.03383,0,0,0,0,0,0,0.00253,0,0,0,0,0,0,13.39169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05786,0,0,0,0,2.27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Butyribacterium] methylotrophicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328,0,0,0,0,0,0.00289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia hansenii",1.1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16286,0,1.00598,0,0,0.38271,0,0,0,0,0,0,0,1.50805,0,0,0,1.11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68093,0,0,0,0,0,0,0,0,0.08437,0,0,0,0,0,0.19524,0,0,0,0,0,0.12937,0,0,0,0,0,0,0,0,0,0,0,1.65268,0,0,0,0,0,0,0,0,0,0.09961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19946,0,0,0,0.38569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812,0,0,0,0,0,0,0,0,0,0.02837,0,0,0,0,0,0,0,0,0.01808,0,0,0,0,0,0,0,0.01169,0,0,0,0,0,0,0.03576,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85354,0,0,0,0,0,0,0,0,0,0,0,0.00268,0,0,0,0,0,0,0,0,0,0,0,0,0.00131,0,0,0,0,0,0,0.02085,0.86248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio crossotus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium sp. oral taxon 370",0,0,0,0,0,0,0,0,0,0,0,0,0.00515,0,0,0,0,0,0,0.01643,0,0,0,0,0,0,0,0,0,0.03519,0,0,0,0,0,0,0,0,0.02898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0,0,0,0,0,0,0,0,0,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39481,0,0,0,0,0,0,0,0,0,0,0
"Prevotella sp. CAG:1185",0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0,0,0,0,0,0,0,0,0,0,0,0.02639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter piscolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328,0,0,0,0,0,0,0,0,0,0,0.01828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08715,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
